company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Pittsburg Tank & Tower Group,pttg.com,Henderson,KY,United States,76,http://www.linkedin.com/company/pttg,1919,Construction,6074,22040000,1,,,,,,,https://www.growjo.com/company/Pittsburg_Tank_&_Tower_Group,https://www.indeed.com/jobs?q=company%3A(Pittsburg Tank & Tower Group),19%,For Contact Direct Phone Numbers and Emails see Lead411
Dealer Car Search,dealercarsearch.com,Louisville,KY,United States,70,http://www.linkedin.com/company/dealer-car-search,2006,Tech Services,6077,10150000,1,saas,,,,,,https://www.growjo.com/company/Dealer_Car_Search,https://www.indeed.com/jobs?q=company%3A(Dealer Car Search),19%,For Contact Direct Phone Numbers and Emails see Lead411
Divisions Maintenance Group,divisionsinc.com,Newport,KY,United States,476,http://www.linkedin.com/company/divisions-maintenance-group,1999,Facilities,6102,113764000,19,"Marketplace,Consumer Services,Real Estate",,,B2B,,,https://www.growjo.com/company/Divisions_Maintenance_Group,https://www.indeed.com/jobs?q=company%3A(Divisions Maintenance Group),19%,For Contact Direct Phone Numbers and Emails see Lead411
New Vista KY,newvista.org,Lexington,KY,United States,236,http://www.linkedin.com/company/new-vista-ky,,Hospital/Healthcare,6152,63720000,1,,,,,,,https://www.growjo.com/company/New_Vista_KY,https://www.indeed.com/jobs?q=company%3A(New Vista KY),19%,For Contact Direct Phone Numbers and Emails see Lead411
Addiction Recovery Care,arccenters.com,Louisa,KY,United States,317,http://www.linkedin.com/company/addiction-recovery-care-llc,2010,Health,6208,85590000,1,,,,,,,https://www.growjo.com/company/Addiction_Recovery_Care,https://www.indeed.com/jobs?q=company%3A(Addiction Recovery Care),20%,For Contact Direct Phone Numbers and Emails see Lead411
LDG Development,ldgdevelopment.com,Louisville,KY,United States,52,http://www.linkedin.com/company/ldg-development-group,1994,Real Estate,6327,,1,,,,,,,https://www.growjo.com/company/LDG_Development,https://www.indeed.com/jobs?q=company%3A(LDG Development),27%,For Contact Direct Phone Numbers and Emails see Lead411
Commonwealth  Pain and Spine,mypainsolution.com,Louisville,KY,United States,58,http://www.linkedin.com/company/commonwealth-pain-and-spine,2013,Medical Offices,6435,15660000,1,,,,,,,https://www.growjo.com/company/Commonwealth__Pain_and_Spine,https://www.indeed.com/jobs?q=company%3A(Commonwealth  Pain and Spine),26%,For Contact Direct Phone Numbers and Emails see Lead411
Oncospark,oncospark.com,Ashland,KY,United States,54,http://www.linkedin.com/company/oncospark,,Hospital/Healthcare,6474,14580000,1,,,,,,,https://www.growjo.com/company/Oncospark,https://www.indeed.com/jobs?q=company%3A(Oncospark),26%,For Contact Direct Phone Numbers and Emails see Lead411
Lee Building Products,leebp.com,Bowling Green,KY,United States,45,http://www.linkedin.com/company/lee-building-products,1963,Construction,6506,13050000,1,,,,,,,https://www.growjo.com/company/Lee_Building_Products,https://www.indeed.com/jobs?q=company%3A(Lee Building Products),25%,For Contact Direct Phone Numbers and Emails see Lead411
Lohmann Americas,lohmann-tapes.us,Hebron,KY,United States,42,http://www.linkedin.com/company/lohmann-americas,1998,Chemicals,6645,,1,,,,,,,https://www.growjo.com/company/Lohmann_Americas,https://www.indeed.com/jobs?q=company%3A(Lohmann Americas),24%,For Contact Direct Phone Numbers and Emails see Lead411
